seed,budget,method,phase,success_rate
0,500,fixed_count,pre,0.0
0,500,fixed_count,post,0.0
0,500,time_count,pre,0.0
0,500,time_count,post,0.0
0,1500,fixed_count,pre,0.0
0,1500,fixed_count,post,0.0
0,1500,time_count,pre,0.0
0,1500,time_count,post,0.0
0,4000,fixed_count,pre,0.0
0,4000,fixed_count,post,0.0
0,4000,time_count,pre,0.0
0,4000,time_count,post,1.0
1,500,fixed_count,pre,0.0
1,500,fixed_count,post,0.0
1,500,time_count,pre,0.0
1,500,time_count,post,0.0
1,1500,fixed_count,pre,0.0
1,1500,fixed_count,post,0.0
1,1500,time_count,pre,0.0
1,1500,time_count,post,0.0
1,4000,fixed_count,pre,0.0
1,4000,fixed_count,post,0.0
1,4000,time_count,pre,0.0
1,4000,time_count,post,0.0
2,500,fixed_count,pre,0.0
2,500,fixed_count,post,0.0
2,500,time_count,pre,1.0
2,500,time_count,post,1.0
2,1500,fixed_count,pre,0.0
2,1500,fixed_count,post,0.0
2,1500,time_count,pre,0.0
2,1500,time_count,post,0.0
2,4000,fixed_count,pre,0.0
2,4000,fixed_count,post,0.0
2,4000,time_count,pre,0.0
2,4000,time_count,post,0.0
