drift_type,seed,strategy,coverage
goal_shift,0,count,1.0
goal_shift,0,random,1.0
goal_shift,1,count,1.0
goal_shift,1,random,1.0
goal_shift,2,count,1.0
goal_shift,2,random,1.0
goal_shift,3,count,1.0
goal_shift,3,random,1.0
goal_shift,4,count,1.0
goal_shift,4,random,1.0
goal_shift,5,count,1.0
goal_shift,5,random,1.0
goal_shift,6,count,1.0
goal_shift,6,random,1.0
goal_shift,7,count,1.0
goal_shift,7,random,1.0
goal_shift,8,count,1.0
goal_shift,8,random,1.0
goal_shift,9,count,1.0
goal_shift,9,random,1.0
transition_noise,0,count,1.0
transition_noise,0,random,1.0
transition_noise,1,count,1.0
transition_noise,1,random,1.0
transition_noise,2,count,1.0
transition_noise,2,random,1.0
transition_noise,3,count,1.0
transition_noise,3,random,1.0
transition_noise,4,count,1.0
transition_noise,4,random,1.0
transition_noise,5,count,1.0
transition_noise,5,random,1.0
transition_noise,6,count,1.0
transition_noise,6,random,1.0
transition_noise,7,count,1.0
transition_noise,7,random,1.0
transition_noise,8,count,1.0
transition_noise,8,random,1.0
transition_noise,9,count,1.0
transition_noise,9,random,1.0
wall_change,0,count,1.0
wall_change,0,random,1.0
wall_change,1,count,1.0
wall_change,1,random,1.0
wall_change,2,count,1.0
wall_change,2,random,1.0
wall_change,3,count,1.0
wall_change,3,random,1.0
wall_change,4,count,1.0
wall_change,4,random,1.0
wall_change,5,count,1.0
wall_change,5,random,1.0
wall_change,6,count,1.0
wall_change,6,random,1.0
wall_change,7,count,1.0
wall_change,7,random,1.0
wall_change,8,count,1.0
wall_change,8,random,1.0
wall_change,9,count,1.0
wall_change,9,random,1.0
