drift_type,seed,method,phase,success_rate,mean_return
goal_shift,0,fixed_count,pre,0.0,0.0
goal_shift,0,fixed_count,post,0.0,0.0
goal_shift,0,time_count,pre,0.0,0.0
goal_shift,0,time_count,post,0.0,0.0
goal_shift,0,fixed_random,pre,0.0,0.0
goal_shift,0,fixed_random,post,0.0,0.0
goal_shift,1,fixed_count,pre,0.0,0.0
goal_shift,1,fixed_count,post,0.0,0.0
goal_shift,1,time_count,pre,0.0,0.0
goal_shift,1,time_count,post,0.0,0.0
goal_shift,1,fixed_random,pre,0.0,0.0
goal_shift,1,fixed_random,post,0.0,0.0
goal_shift,2,fixed_count,pre,0.0,0.0
goal_shift,2,fixed_count,post,0.0,0.0
goal_shift,2,time_count,pre,0.0,0.0
goal_shift,2,time_count,post,0.0,0.0
goal_shift,2,fixed_random,pre,0.0,0.0
goal_shift,2,fixed_random,post,0.0,0.0
goal_shift,3,fixed_count,pre,0.0,0.0
goal_shift,3,fixed_count,post,0.0,0.0
goal_shift,3,time_count,pre,0.0,0.0
goal_shift,3,time_count,post,0.0,0.0
goal_shift,3,fixed_random,pre,0.0,0.0
goal_shift,3,fixed_random,post,0.0,0.0
goal_shift,4,fixed_count,pre,0.0,0.0
goal_shift,4,fixed_count,post,0.0,0.0
goal_shift,4,time_count,pre,0.0,0.0
goal_shift,4,time_count,post,0.0,0.0
goal_shift,4,fixed_random,pre,0.0,0.0
goal_shift,4,fixed_random,post,0.0,0.0
goal_shift,5,fixed_count,pre,0.0,0.0
goal_shift,5,fixed_count,post,0.0,0.0
goal_shift,5,time_count,pre,0.0,0.0
goal_shift,5,time_count,post,0.0,0.0
goal_shift,5,fixed_random,pre,0.0,0.0
goal_shift,5,fixed_random,post,0.0,0.0
goal_shift,6,fixed_count,pre,0.0,0.0
goal_shift,6,fixed_count,post,0.0,0.0
goal_shift,6,time_count,pre,0.0,0.0
goal_shift,6,time_count,post,0.0,0.0
goal_shift,6,fixed_random,pre,0.0,0.0
goal_shift,6,fixed_random,post,0.0,0.0
goal_shift,7,fixed_count,pre,0.0,0.0
goal_shift,7,fixed_count,post,0.0,0.0
goal_shift,7,time_count,pre,0.0,0.0
goal_shift,7,time_count,post,0.0,0.0
goal_shift,7,fixed_random,pre,0.0,0.0
goal_shift,7,fixed_random,post,0.0,0.0
goal_shift,8,fixed_count,pre,0.0,0.0
goal_shift,8,fixed_count,post,0.0,0.0
goal_shift,8,time_count,pre,0.0,0.0
goal_shift,8,time_count,post,0.0,0.0
goal_shift,8,fixed_random,pre,0.0,0.0
goal_shift,8,fixed_random,post,0.0,0.0
goal_shift,9,fixed_count,pre,0.0,0.0
goal_shift,9,fixed_count,post,0.0,0.0
goal_shift,9,time_count,pre,0.0,0.0
goal_shift,9,time_count,post,0.0,0.0
goal_shift,9,fixed_random,pre,0.0,0.0
goal_shift,9,fixed_random,post,0.0,0.0
transition_noise,0,fixed_count,pre,1.0,1.0
