drift_type,method,phase,n_seeds,success_mean,success_ci95_low,success_ci95_high,return_mean,return_ci95_low,return_ci95_high
goal_shift,fixed_count,post,10,0.0,0.0,0.0,0.0,0.0,0.0
goal_shift,fixed_count,pre,10,0.0,0.0,0.0,0.0,0.0,0.0
goal_shift,fixed_random,post,10,0.0,0.0,0.0,0.0,0.0,0.0
goal_shift,fixed_random,pre,10,0.0,0.0,0.0,0.0,0.0,0.0
goal_shift,time_count,post,10,0.0,0.0,0.0,0.0,0.0,0.0
goal_shift,time_count,pre,10,0.0,0.0,0.0,0.0,0.0,0.0
transition_noise,fixed_count,post,10,0.33499999999999996,0.11000000000000001,0.575,0.33499999999999996,0.11000000000000001,0.575
transition_noise,fixed_count,pre,10,0.1,0.0,0.3,0.1,0.0,0.3
transition_noise,fixed_random,post,10,0.2,0.034999999999999996,0.41,0.2,0.034999999999999996,0.41
transition_noise,fixed_random,pre,10,0.0,0.0,0.0,0.0,0.0,0.0
transition_noise,time_count,post,10,0.18,0.0,0.40499999999999997,0.18,0.0,0.40499999999999997
transition_noise,time_count,pre,10,0.0,0.0,0.0,0.0,0.0,0.0
wall_change,fixed_count,post,10,0.0,0.0,0.0,0.0,0.0,0.0
wall_change,fixed_count,pre,10,0.0,0.0,0.0,0.0,0.0,0.0
wall_change,fixed_random,post,10,0.0,0.0,0.0,0.0,0.0,0.0
wall_change,fixed_random,pre,10,0.0,0.0,0.0,0.0,0.0,0.0
wall_change,time_count,post,10,0.0,0.0,0.0,0.0,0.0,0.0
wall_change,time_count,pre,10,0.0,0.0,0.0,0.0,0.0,0.0
